상호명,지점명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,도로명주소,경도,위도,n_상호명,점포수
에스알에스코리아버거킹,수원역사1점,패스트푸드,패스트푸드,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 924,127.00008813955601,37.2656675906019,버거킹,1
에스알에스코리아버거킹분, ,패스트푸드,패스트푸드,경기도,성남시 분당구,서현1동,경기도 성남시 분당구 분당로53번길 19,127.1221619768,37.3845159275885,버거킹,1
버거킹,안산고잔점,패스트푸드,패스트푸드,경기도,안산시 단원구,호수동,경기도 안산시 단원구 광덕대로 154,126.83072474056401,37.310160717624704,버거킹,1
버거킹,오산궐동점,패스트푸드,패스트푸드,경기도,오산시,남촌동,경기도 오산시 궐동로 61,127.060929562836,37.1571146699999,버거킹,1
버거킹,김포현대아울렛점,패스트푸드,패스트푸드,경기도,김포시,고촌읍,경기도 김포시 고촌읍 아라육로152번길 100,126.785052214643,37.59709717998921,버거킹,1
버거킹,일산마두점,패스트푸드,패스트푸드,경기도,고양시 일산동구,장항2동,경기도 고양시 일산동구 장백로 194,126.776678882171,37.65199973974789,버거킹,1
버거킹,분당수내점,패스트푸드,패스트푸드,경기도,성남시 분당구,수내1동,경기도 성남시 분당구 내정로 167,127.11913595611799,37.3738697039715,버거킹,1
버거킹,아주대병원점,패스트푸드,패스트푸드,경기도,수원시 영통구,원천동,경기도 수원시 영통구 월드컵로 164,127.047503987337,37.2794397582259,버거킹,1
버거킹여주휴게소강릉방면,여주휴게소강릉방면,패스트푸드,패스트푸드,경기도,여주시,가남읍,경기도 여주시 가남읍 여주남로 722,127.56830777240299,37.2377170732834,버거킹,1
버거킹용인신갈점,용인신갈점,패스트푸드,패스트푸드,경기도,용인시 기흥구,신갈동,경기도 용인시 기흥구 중부대로 375,127.107820581033,37.2719260345902,버거킹,1
버거킹,수원팔달점,패스트푸드,패스트푸드,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로777번길 2,127.016122376469,37.2776422275977,버거킹,1
버거킹,동탄점,패스트푸드,패스트푸드,경기도,화성시,동탄1동,경기도 화성시 동탄반석로 156,127.071567284862,37.202316847736796,버거킹,1
버거킹고양터미널점,고양터미널점,패스트푸드,패스트푸드,경기도,고양시 일산동구,백석1동,경기도 고양시 일산동구 중앙로 1036,126.78963911109899,37.6431683409172,버거킹,1
버거킹평택비전점,평택비전점,패스트푸드,패스트푸드,경기도,평택시,비전1동,경기도 평택시 평남로 874-1,127.111112994981,37.001580298541604,버거킹,1
버거킹,일산화정오일뱅크점,패스트푸드,패스트푸드,경기도,고양시 덕양구,화정2동,경기도 고양시 덕양구 화중로 38,126.830411830077,37.6306499949488,버거킹,1
버거킹동두천DT점,동두천DT점,패스트푸드,패스트푸드,경기도,동두천시,송내동,경기도 동두천시 평화로2261번길 2,127.05642763198799,37.8899956806047,버거킹,1
버거킹오산궐동점,오산궐동점,패스트푸드,패스트푸드,경기도,오산시,남촌동,경기도 오산시 궐리사로 61,127.05930402307,37.159282460155396,버거킹,1
버거킹수원팔달점,수원팔달점,패스트푸드,패스트푸드,경기도,수원시 팔달구,행궁동,경기도 수원시 팔달구 정조로 781-1,127.01621175550301,37.277706046542704,버거킹,1
버거킹안산상록수역점,안산상록수역점,패스트푸드,패스트푸드,경기도,안산시 상록구,본오3동,경기도 안산시 상록구 용신로 394,126.86587273104601,37.3013659359582,버거킹,1
버거킹수지GS점,수지GS점,패스트푸드,패스트푸드,경기도,용인시 수지구,동천동,경기도 용인시 수지구 신수로 781,127.10234092143601,37.3392860706321,버거킹,1
버거킹,오산원동점,패스트푸드,패스트푸드,경기도,오산시,대원동,경기도 오산시 경기대로 238,127.073889798693,37.145880689218004,버거킹,1
버거킹수원영통점,수원영통점,패스트푸드,패스트푸드,경기도,수원시 영통구,영통2동,경기도 수원시 영통구 봉영로 1623,127.074720005811,37.2559298483173,버거킹,1
버거킹,평촌학원가점,패스트푸드,패스트푸드,경기도,안양시 동안구,귀인동,경기도 안양시 동안구 평촌대로 112,126.96118517376301,37.3825175892204,버거킹,1
버거킹,화성능동FS점,패스트푸드,패스트푸드,경기도,화성시,동탄3동,경기도 화성시 동탄지성로 190,127.05559747607201,37.2119405180015,버거킹,1
버거킹,지산리조트점,패스트푸드,패스트푸드,경기도,이천시,마장면,경기도 이천시 마장면 지산로 267,127.342044894866,37.2189963038107,버거킹,1
버거킹평택서정점,평택서정점,패스트푸드,패스트푸드,경기도,평택시,서정동,경기도 평택시 경기대로 1371,127.06368883928002,37.0674755333454,버거킹,1
버거킹,의정부DT점,패스트푸드,패스트푸드,경기도,의정부시,의정부1동,경기도 의정부시 호국로 1338,127.052723482885,37.7440655194589,버거킹,1
버거킹부천NC점,부천NC점,패스트푸드,패스트푸드,경기도,부천시,상2동,경기도 부천시 송내대로 239,126.75669087581,37.5041312820545,버거킹,1
버거킹경기양평점,경기양평점,패스트푸드,패스트푸드,경기도,양평군,양평읍,경기도 양평군 양평읍 양평시장길18번길 1,127.491700022575,37.4906762927725,버거킹,1
버거킹,스타필드고양점,패스트푸드,패스트푸드,경기도,고양시 덕양구,창릉동,경기도 고양시 덕양구 고양대로 1955,126.894778805499,37.647083496373796,버거킹,1
버거킹,의정부DT점,패스트푸드,패스트푸드,경기도,의정부시,의정부1동,경기도 의정부시 호국로1336번길 1,127.05269998813101,37.74412840204021,버거킹,1
버거킹,김포한강GS점,패스트푸드,패스트푸드,경기도,김포시,구래동,경기도 김포시 김포한강3로 400,126.64771008028299,37.641788921655895,버거킹,1
버거킹,평택청북점,패스트푸드,패스트푸드,경기도,평택시,청북읍,경기도 평택시 청북읍 청북남로 260,126.91508912982,37.0198921978406,버거킹,1
버거킹,시흥목감SK점,패스트푸드,패스트푸드,경기도,시흥시,목감동,경기도 시흥시 동서로 996,126.854968823268,37.379185068816106,버거킹,1
버거킹,분당차병원점,패스트푸드,패스트푸드,경기도,성남시 분당구,야탑3동,경기도 성남시 분당구 야탑로 64,127.125959757356,37.409494875981395,버거킹,1
버거킹,오산세교S-OIL점,패스트푸드,패스트푸드,경기도,오산시,신장동,경기도 오산시 경기대로 692,127.05223738864201,37.1815195146291,버거킹,1
버거킹,안양관양점,패스트푸드,패스트푸드,경기도,안양시 동안구,관양1동,경기도 안양시 동안구 관악대로 312,126.957641436523,37.402769397192394,버거킹,1
버거킹,남양주화도DT점,패스트푸드,패스트푸드,경기도,남양주시,화도읍,경기도 남양주시 화도읍 경춘로 1718,127.282022077376,37.6554731624234,버거킹,1
버거킹,안산중앙역점,패스트푸드,패스트푸드,경기도,안산시 단원구,중앙동,경기도 안산시 단원구 중앙대로 927,126.839552317157,37.317113752472295,버거킹,1
버거킹,하남미사점,패스트푸드,패스트푸드,경기도,하남시,풍산동,경기도 하남시 미사강변대로 48,127.18620237914101,37.5543390081541,버거킹,1
버거킹,의정부민락점,패스트푸드,패스트푸드,경기도,의정부시,송산2동,경기도 의정부시 천보로 68,127.09409927755699,37.7454449806524,버거킹,1
버거킹,남양주진접FS점,패스트푸드,패스트푸드,경기도,남양주시,진접읍,경기도 남양주시 진접읍 해밀예당1로 11,127.18467778518499,37.7106237562994,버거킹,1
버거킹,주엽역점,패스트푸드,패스트푸드,경기도,고양시 일산서구,주엽2동,경기도 고양시 일산서구 중앙로 1443,126.759691834289,37.670383152770704,버거킹,1
버거킹,부천북부역점,패스트푸드,패스트푸드,경기도,부천시,심곡2동,경기도 부천시 부천로 25,126.78264750118099,37.486696287579896,버거킹,1
버거킹,김포구래점,패스트푸드,패스트푸드,경기도,김포시,구래동,경기도 김포시 김포한강4로 513,126.62686368110901,37.6459900385319,버거킹,1
버거킹,남양주다산지금점,패스트푸드,패스트푸드,경기도,남양주시,다산2동,경기도 남양주시 다산지금로 132,127.17352881091601,37.6012318604583,버거킹,1
버거킹,화성병점점,패스트푸드,패스트푸드,경기도,화성시,진안동,경기도 화성시 효행로 1032,127.040361628998,37.2131156456513,버거킹,1
버거킹,성남신흥점,패스트푸드,패스트푸드,경기도,성남시 수정구,신흥3동,경기도 성남시 수정구 산성대로 305,127.15072019788,37.4425465098656,버거킹,1
버거킹,남양주별내오일뱅크점,패스트푸드,패스트푸드,경기도,남양주시,별내동,경기도 남양주시 송산로 149,127.129336944859,37.655769582505606,버거킹,1
버거킹,고양삼송점,패스트푸드,패스트푸드,경기도,고양시 덕양구,원신동,경기도 고양시 덕양구 권율대로 907,126.89104066666,37.66451922398221,버거킹,1
버거킹,김포풍무역점,패스트푸드,패스트푸드,경기도,김포시,풍무동,경기도 김포시 유현로 232,126.731115090616,37.6111530749032,버거킹,1
버거킹,동탄호수공원레이크꼬모점,패스트푸드,패스트푸드,경기도,화성시,동탄7동,경기도 화성시 동탄대로 181,127.1040757036,37.1720196453006,버거킹,1
버거킹,구리갈매점,패스트푸드,패스트푸드,경기도,구리시,갈매동,경기도 구리시 산마루로 24,127.116539014344,37.6311211087476,버거킹,1
버거킹,배곧아브뉴프랑점,패스트푸드,패스트푸드,경기도,시흥시,정왕3동,경기도 시흥시 서울대학로264번길 19,126.726789138214,37.3686387334934,버거킹,1
